Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAFFRINE,KAFFRINE,"COM. KAFFRINE","COM. KAFFRINE",,,,,29105,28202,57307
KAFFRINE,KAFFRINE,"AR. GNIBY",BOULEL,,,,,15494,14589,30083
KAFFRINE,KAFFRINE,"AR. GNIBY",GNIBY,,,,,10292,9486,19778
KAFFRINE,KAFFRINE,"AR. GNIBY",KAHI,,,,,14969,14246,29215
KAFFRINE,KAFFRINE,"AR. KATAKEL","DIOKOUL M’BELBOUCK",,,,,16398,17193,33591
KAFFRINE,KAFFRINE,"AR. KATAKEL",KATHIOTE,,,,,21829,22567,44396
KAFFRINE,KAFFRINE,"AR. KATAKEL","MEDINATOUL SALAM 2",,,,,13765,13863,27628
KAFFRINE,KAFFRINE,"AR. KATAKEL",DIAMAGADIO,,,,,11974,12446,24420
KAFFRINE,KAFFRINE,"AR. KATAKEL","COM. N’GANDA",,,,,6700,7669,14369
