Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KEDOUGOU,KEDOUGOU,"COM. KEDOUGOU","COM. KEDOUGOU",,,,,31391,27840,59231
KEDOUGOU,KEDOUGOU,"AR. BANDAFASSI",BANDAFASSI,,,,,8356,7484,15840
KEDOUGOU,KEDOUGOU,"AR. BANDAFASSI",TOMBORONKOTO,,,,,10337,8023,18360
KEDOUGOU,KEDOUGOU,"AR. BANDAFASSI",DINDIFELO,,,,,3795,3795,7590
KEDOUGOU,KEDOUGOU,"AR. BANDAFASSI",NINEFECHA,,,,,4412,4303,8715
KEDOUGOU,KEDOUGOU,"AR. FONGOLEMBI",DIMBOLI,,,,,4536,4487,9023
KEDOUGOU,KEDOUGOU,"AR. FONGOLEMBI",FONGOLEMBI,,,,,2785,2722,5507
