Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KAOLACK,KAOLACK,"COM. KAOLACK","COM. KAOLACK",,,,,149606,149298,298904
KAOLACK,KAOLACK,"COM. KAHONE","COM. KAHONE",,,,,13919,12457,26376
KAOLACK,KAOLACK,"AR. NDIEDIENG","KEUR SOCE",,,,,18790,18777,37567
KAOLACK,KAOLACK,"AR. NDIEDIENG",NDIAFFATE,,,,,25467,24026,49493
KAOLACK,KAOLACK,"AR. NDIEDIENG",NDIEDIENG,,,,,20617,20404,41021
KAOLACK,KAOLACK,"AR. KOUMBAL",LATMINGUE,,,,,20738,20418,41156
KAOLACK,KAOLACK,"AR. KOUMBAL",THIARE,,,,,17890,17886,35776
KAOLACK,KAOLACK,"AR. KOUMBAL","KEUR BAKA",,,,,14619,14690,29309
KAOLACK,KAOLACK,"AR. KOUMBAL","COM. NDOFFANE",,,,,8926,10048,18974
KAOLACK,KAOLACK,"AR. NGOTHIE",DYA,,,,,10276,9590,19866
KAOLACK,KAOLACK,"AR. NGOTHIE",NDIEBEL,,,,,8480,8156,16636
KAOLACK,KAOLACK,"AR. NGOTHIE",THIOMBY,,,,,9714,9514,19228
KAOLACK,KAOLACK,"AR. NGOTHIE","COM. GANDIAYE",,,,,8957,9282,18239
KAOLACK,KAOLACK,"AR. NGOTHIE","COM. SIBASSOR",,,,,5568,5940,11508
