Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
MATAM,MATAM,"COM. MATAM","COM. MATAM",,,,,15537,12158,27695
MATAM,MATAM,"COM. OUROSSOGUI","COM. OUROSSOGUI",,,,,15830,11392,27222
MATAM,MATAM,"AR. AGNAM-CIVOL",AGNAM-CIVOL,,,,,17305,16053,33358
MATAM,MATAM,"AR. AGNAM-CIVOL",OREFONDE,,,,,13504,12295,25799
MATAM,MATAM,"AR. AGNAM-CIVOL",DABIA,,,,,15023,14174,29197
MATAM,MATAM,"AR. AGNAM-CIVOL","COM. NGUIDILOGNE",,,,,7635,6788,14423
MATAM,MATAM,"AR. AGNAM-CIVOL","COM. THILOGNE",,,,,8736,6308,15044
MATAM,MATAM,"AR. OGO",BOKIDIAWE,,,,,37816,35584,73400
MATAM,MATAM,"AR. OGO",NABADJI-CIVOL,,,,,37146,37909,75055
MATAM,MATAM,"AR. OGO",OGO,,,,,32892,32802,65694
