Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SEDHIOU,SEDHIOU,"COM. SEDHIOU","COM. SEDHIOU",,,,,16083,15428,31511
SEDHIOU,SEDHIOU,"COM. MARSASSOUM","COM. MARSASSOUM",,,,,5004,4811,9815
SEDHIOU,SEDHIOU,"AR. DIENDE",DIENDE,,,,,8425,8278,16703
SEDHIOU,SEDHIOU,"AR. DIENDE",SAKAR,,,,,5778,5757,11535
SEDHIOU,SEDHIOU,"AR. DIENDE","DIANNAH BA",,,,,4594,4651,9245
SEDHIOU,SEDHIOU,"AR. DIENDE",KOUSSY,,,,,6693,6066,12759
SEDHIOU,SEDHIOU,"AR. DIENDE",OUDOUCAR,,,,,5983,5989,11972
SEDHIOU,SEDHIOU,"AR. DIENDE","SAMA KANTA PEULH",,,,,2254,2103,4357
SEDHIOU,SEDHIOU,"AR. DIENDE","COM. DIANAH MALARY",,,,,1645,1627,3272
SEDHIOU,SEDHIOU,"AR. DJIBABOUYA","BENET- BIJINI",,,,,7259,6557,13816
SEDHIOU,SEDHIOU,"AR. DJIBABOUYA",SANSAMBA,,,,,9250,8845,18095
SEDHIOU,SEDHIOU,"AR. DJIBABOUYA",DJIBABOUYA,,,,,3630,3215,6845
SEDHIOU,SEDHIOU,"AR. DJIREDJI",BAMBALI,,,,,10766,9658,20424
SEDHIOU,SEDHIOU,"AR. DJIREDJI",DJIREDJI,,,,,12192,10754,22946
