Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
TAMBACOUNDA,BAKEL,"COM. BAKEL","COM. BAKEL",,,,,10350,8589,18939
TAMBACOUNDA,BAKEL,"AR. KENIEBA",GATHIARY,,,,,2056,1917,3973
TAMBACOUNDA,BAKEL,"AR. KENIEBA","MADINA FOULBE",,,,,2118,1685,3803
TAMBACOUNDA,BAKEL,"AR. KENIEBA",SADATOU,,,,,9583,7676,17259
TAMBACOUNDA,BAKEL,"AR. KENIEBA",TOUMBOURA,,,,,2457,2571,5028
TAMBACOUNDA,BAKEL,"AR. BELE",BELE,,,,,13256,12605,25861
TAMBACOUNDA,BAKEL,"AR. BELE",SINTHIOU-FISSA,,,,,6390,6510,12900
TAMBACOUNDA,BAKEL,"AR. BELE","COM. KIDIRA",,,,,7103,6448,13551
TAMBACOUNDA,BAKEL,"AR. MOUDERY",BALLOU,,,,,11851,12107,23958
TAMBACOUNDA,BAKEL,"AR. MOUDERY",GABOU,,,,,14422,14190,28612
TAMBACOUNDA,BAKEL,"AR. MOUDERY",MOUDERY,,,,,11359,12547,23906
TAMBACOUNDA,BAKEL,"AR. MOUDERY","COM. DIAWARA",,,,,5881,6266,12147
