Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
KOLDA,KOLDA,"COM. KOLDA","COM. KOLDA",,,,,52012,51562,103574
KOLDA,KOLDA,"AR. DIOULACOLON",DIOULACOLON,,,,,16177,15913,32090
KOLDA,KOLDA,"AR. DIOULACOLON","MEDINA  EL HADJI",,,,,7795,7409,15204
KOLDA,KOLDA,"AR. DIOULACOLON","TANKANTO ESCALE",,,,,9184,9164,18348
KOLDA,KOLDA,"AR. DIOULACOLON","GUIRO YERO BOCAR",,,,,9670,9230,18900
KOLDA,KOLDA,"AR. DIOULACOLON","COM. SALIKEGNE",,,,,2333,2308,4641
KOLDA,KOLDA,"AR. DIOULACOLON","COM. SARE YOBA DIEGA",,,,,2127,2072,4199
KOLDA,KOLDA,"AR. MAMPATIM",BAGADADJI,,,,,10291,9795,20086
KOLDA,KOLDA,"AR. MAMPATIM",COUMBACARA,,,,,7691,7334,15025
KOLDA,KOLDA,"AR. MAMPATIM",MAMPATIM,,,,,11305,10650,21955
KOLDA,KOLDA,"AR. MAMPATIM",DIALAMBERE,,,,,8836,8123,16959
KOLDA,KOLDA,"AR. MAMPATIM","MEDINA CHERIF",,,,,8259,7659,15918
KOLDA,KOLDA,"AR. MAMPATIM","COM. DABO",,,,,4796,4815,9611
KOLDA,KOLDA,"AR. SARE BIDJI","SARE BIDJI",,,,,11677,10694,22371
KOLDA,KOLDA,"AR. SARE BIDJI",THIETTY,,,,,2759,2552,5311
