Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
SAINT-LOUIS,DAGANA,"COM. DAGANA","COM. DAGANA",,,,,13893,12675,26568
SAINT-LOUIS,DAGANA,"COM. RICHARD-TOLL","COM. RICHARD-TOLL",,,,,38787,34360,73147
SAINT-LOUIS,DAGANA,"AR. MBANE",MBANE,,,,,20226,20528,40754
SAINT-LOUIS,DAGANA,"AR. MBANE",BOKHOL,,,,,11395,11256,22651
SAINT-LOUIS,DAGANA,"AR. MBANE","COM. GAE",,,,,6400,5896,12296
SAINT-LOUIS,DAGANA,"AR. MBANE","COM. NDOMBO SANDJIRY",,,,,3343,2837,6180
SAINT-LOUIS,DAGANA,"AR. NDIAYE",DIAMA,,,,,24684,23814,48498
SAINT-LOUIS,DAGANA,"AR. NDIAYE",NGNITH,,,,,17018,15691,32709
SAINT-LOUIS,DAGANA,"AR. NDIAYE",RONKH,,,,,14616,13120,27736
SAINT-LOUIS,DAGANA,"AR. NDIAYE","COM. ROSS-BETHIO",,,,,8726,7499,16225
SAINT-LOUIS,DAGANA,"AR. NDIAYE","COM. ROSSO-SENEGAL",,,,,11774,10525,22299
