Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
FATICK,FATICK,"COM. DIOFIOR","COM. DIOFIOR",,,,,6326,6469,12795
FATICK,FATICK,"AR. NDIOB",DIAOULE,,,,,7601,7712,15313
FATICK,FATICK,"COM. FATICK","COM. FATICK",,,,,19959,19402,39361
FATICK,FATICK,"AR. NDIOB",MBELACADIAO,,,,,8872,9247,18119
FATICK,FATICK,"AR. NDIOB",NDIOB,,,,,11866,11541,23407
FATICK,FATICK,"AR. NDIOB","THIARE  NDIALGUI",,,,,13395,12732,26127
FATICK,FATICK,"AR. NDIOB",DIAKHAO,,,,,2671,2919,5590
FATICK,FATICK,"AR. FIMELA",LOUL-SESSENE,,,,,11462,11066,22528
FATICK,FATICK,"AR. NIAKHAR",NIAKHAR,,,,,16360,17336,33696
FATICK,FATICK,"AR. NIAKHAR",NGAYOKHEME,,,,,14851,14957,29808
FATICK,FATICK,"AR. FIMELA",DJILASSE,,,,,5814,5292,11106
FATICK,FATICK,"AR. FIMELA","PALMARIN FACAO",,,,,6224,4703,10927
FATICK,FATICK,"AR. FIMELA",FIMELA,,,,,15796,15090,30886
FATICK,FATICK,"AR. NIAKHAR",PATAR,,,,,15192,15391,30583
FATICK,FATICK,"AR. TATTAGUINE",DIARERE,,,,,17936,17839,35775
FATICK,FATICK,"AR. TATTAGUINE",DIOUROUP,,,,,12940,13408,26348
FATICK,FATICK,"AR. TATTAGUINE",TATTAGUINE,,,,,18309,17888,36197
