Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
ZIGUINCHOR,BIGNONA,"COM. THIONCK-ESSYL","COM. THIONCK-ESSYL",,,,,4553,4408,8961
ZIGUINCHOR,BIGNONA,"AR. SINDIAN",DJIBIDIONE,,,,,4889,3970,8859
ZIGUINCHOR,BIGNONA,"COM. BIGNONA","COM. BIGNONA",,,,,14580,14062,28642
ZIGUINCHOR,BIGNONA,"AR. SINDIAN",OULAMPANE,,,,,7845,7064,14909
ZIGUINCHOR,BIGNONA,"AR. SINDIAN",SINDIAN,,,,,6103,5573,11676
ZIGUINCHOR,BIGNONA,"AR. SINDIAN",SUELLE,,,,,4933,4241,9174
ZIGUINCHOR,BIGNONA,"AR. TENDOUCK",BALINGORE,,,,,2878,2635,5513
ZIGUINCHOR,BIGNONA,"AR. TENDOUCK",DIEGOUNE,,,,,3755,3779,7534
ZIGUINCHOR,BIGNONA,"AR. TENDOUCK",MANGAGOULACK,,,,,4406,4097,8503
ZIGUINCHOR,BIGNONA,"AR. TENGHORY",NIAMONE,,,,,4573,4212,8785
ZIGUINCHOR,BIGNONA,"AR. TENGHORY",COUBALAN,,,,,6145,6011,12156
ZIGUINCHOR,BIGNONA,"AR. TENDOUCK",MLOMP,,,,,1557,1571,3128
ZIGUINCHOR,BIGNONA,"AR. TENDOUCK",KARTHIACK,,,,,4028,3934,7962
ZIGUINCHOR,BIGNONA,"AR. TENGHORY",OUONCK,,,,,5546,5368,10914
ZIGUINCHOR,BIGNONA,"AR. TENGHORY",TENGHORY,,,,,20207,19302,39509
ZIGUINCHOR,BIGNONA,"AR. KATABA I",DJINAKI,,,,,10115,9465,19580
ZIGUINCHOR,BIGNONA,"AR. KATABA I",KAFOUNTINE,,,,,22843,18747,41590
ZIGUINCHOR,BIGNONA,"AR. KATABA I","KATABA I",,,,,16791,15205,31996
ZIGUINCHOR,BIGNONA,"AR. KATABA I","COM. DIOULOULOU",,,,,4435,3674,8109
