Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
THIES,M’BOUR,"COM. JOAL- FADIOUTH","COM. JOAL- FADIOUTH",,,,,32545,29037,61582
THIES,M’BOUR,"COM. M’BOUR","COM. M’BOUR",,,,,146196,137993,284189
THIES,M’BOUR,"AR. FISSEL",FISSEL,,,,,24192,24789,48981
THIES,M’BOUR,"AR. FISSEL",N’DIAGANIAO,,,,,30741,29913,60654
THIES,M’BOUR,"AR. SESSENE",N’GUENIENE,,,,,25158,23819,48977
THIES,M’BOUR,"AR. SESSENE",SANDIARA,,,,,19893,18440,38333
THIES,M’BOUR,"AR. SESSENE",SESSENE,,,,,16015,15302,31317
THIES,M’BOUR,"AR. SESSENE","COM. THIADIAYE",,,,,9932,10236,20168
THIES,M’BOUR,"AR. SINDIA",MALICOUNDA,,,,,61092,56498,117590
THIES,M’BOUR,"AR. SINDIA",DIASS,,,,,21221,20212,41433
THIES,M’BOUR,"AR. SINDIA",SINDIA,,,,,30047,27009,57056
THIES,M’BOUR,"AR. SINDIA","COM. GUEKOKH",,,,,24824,23140,47964
THIES,M’BOUR,"AR. SINDIA","COM. N’GAPAROU",,,,,7057,6687,13744
THIES,M’BOUR,"AR. SINDIA","COM. POPENGUINE",,,,,6499,6244,12743
THIES,M’BOUR,"AR. SINDIA","COM. SALY PORTUDAL",,,,,21446,20365,41811
THIES,M’BOUR,"AR. SINDIA","COM. SOMONE",,,,,4425,4337,8762
